#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Tue Jul 07 17:44:39 2026

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       map.ncd
#OUTPUT FILE:      msb_main_pad.csv
#PART TYPE:        xc6slx4
#SPEED GRADE:      -3
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,ENA_SHOOTING,IOB,IO_L83N_VREF_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P2,RANGE_OVER_1280,IOB,IO_L83P_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P3,,,GND,,,,,,,,,,,,
P4,,,VCCO_3,,,3,,,,,3.30,,,,
P5,UOI,IOB,IO_L52N_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P6,GMEE,IOB,IO_L52P_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P7,,IOBS,IO_L51N_3,UNUSED,,3,,,,,,,,,
P8,,IOBM,IO_L51P_3,UNUSED,,3,,,,,,,,,
P9,,IOBS,IO_L50N_3,UNUSED,,3,,,,,,,,,
P10,,IOBM,IO_L50P_3,UNUSED,,3,,,,,,,,,
P11,,IOBS,IO_L49N_3,UNUSED,,3,,,,,,,,,
P12,,IOBM,IO_L49P_3,UNUSED,,3,,,,,,,,,
P13,,,GND,,,,,,,,,,,,
P14,,IOBS,IO_L44N_GCLK20_3,UNUSED,,3,,,,,,,,,
P15,,IOBM,IO_L44P_GCLK21_3,UNUSED,,3,,,,,,,,,
P16,led<0>,IOB,IO_L43N_GCLK22_IRDY2_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P17,,IOBM,IO_L43P_GCLK23_3,UNUSED,,3,,,,,,,,,
P18,,,VCCO_3,,,3,,,,,3.30,,,,
P19,,,VCCINT,,,,,,,,1.2,,,,
P20,,,VCCAUX,,,,,,,,2.5,,,,
P21,WIND_SENSOR_ON,IOB,IO_L42N_GCLK24_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P22,RFU4,IOB,IO_L42P_GCLK25_TRDY2_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P23,RFU5,IOB,IO_L41N_GCLK26_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P24,INHIBIT_SHOOTING,IOB,IO_L41P_GCLK27_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P25,,,GND,,,,,,,,,,,,
P26,,IOBS,IO_L37N_3,UNUSED,,3,,,,,,,,,
P27,led<1>,IOB,IO_L37P_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P28,,,VCCINT,,,,,,,,1.2,,,,
P29,led<2>,IOB,IO_L36N_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P30,,IOBM,IO_L36P_3,UNUSED,,3,,,,,,,,,
P31,,,VCCO_3,,,3,,,,,3.30,,,,
P32,,IOBS,IO_L2N_3,UNUSED,,3,,,,,,,,,
P33,,IOBM,IO_L2P_3,UNUSED,,3,,,,,,,,,
P34,,IOBS,IO_L1N_VREF_3,UNUSED,,3,,,,,,,,,
P35,,IOBM,IO_L1P_3,UNUSED,,3,,,,,,,,,
P36,,,VCCAUX,,,,,,,,2.5,,,,
P37,,,PROGRAM_B_2,,,,,,,,,,,,
P38,w25q128_nss,IOB,IO_L65N_CSO_B_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
P39,,IOBM,IO_L65P_INIT_B_2,UNUSED,,2,,,,,,,,,
P40,,IOBS,IO_L64N_D9_2,UNUSED,,2,,,,,,,,,
P41,,IOBM,IO_L64P_D8_2,UNUSED,,2,,,,,,,,,
P42,,,VCCO_2,,,2,,,,,3.30,,,,
P43,,IOBS,IO_L62N_D6_2,UNUSED,,2,,,,,,,,,
P44,,IOBM,IO_L62P_D5_2,UNUSED,,2,,,,,,,,,
P45,,IOBS,IO_L49N_D4_2,UNUSED,,2,,,,,,,,,
P46,,IOBM,IO_L49P_D3_2,UNUSED,,2,,,,,,,,,
P47,spi_stm32_sck,IOB,IO_L48N_RDWR_B_VREF_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,YES,NONE,
P48,spi_stm32_nss_p,IOB,IO_L48P_D7_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,YES,NONE,
